delivery_distance,order_quantity_lbs,average_unit_cost_lbs,packaging,total_delivery_cost,markup_percentage,order_date,customer_id,product_id,warehouse_id,ship_via
4.05,720.0,1.13,-MDRM,0.22,0.11,2022-07-29 00:00:00+00:00,C33,P2,W12,S3
40.77,45260.0,0.09,BULK,143.71,0.23,2022-02-08 00:00:00+00:00,C34,P1,W1,S2
111.82,5760.0,0.78,-MDRM,48.31,0.1,2019-09-09 00:00:00+00:00,C35,P2,W15,S3
148.47,44920.0,0.08,BULK,512.22,0.4,2021-06-14 00:00:00+00:00,C24,P1,W2,S2
202.99,44410.0,0.07,BULK,685.09,0.98,2019-04-17 00:00:00+00:00,C36,P1,W4,S2
96.48,360.0,1.48,-MDRM,2.6,0.11,2018-05-09 00:00:00+00:00,C25,P2,W7,S3
54.63,44820.0,0.87,BULK,184.38,0.11,2020-05-21 00:00:00+00:00,C37,P4,W3,S2
55.6,720.0,1.03,-MDRM,3.0,0.11,2017-09-06 00:00:00+00:00,C38,P2,W17,S3
0.0,34268.12,0.12,BULK,0.0,1.73,2022-01-31 00:00:00+00:00,C39,P3,W18,S7
47.43,43640.0,0.05,BULK,163.63,0.52,2017-03-07 00:00:00+00:00,C19,P1,W2,S2
41.95,44460.0,0.06,BULK,144.73,0.49,2020-06-12 00:00:00+00:00,C40,P1,W2,S2
0.0,39484.09,0.1,BULK,0.0,0.34,2019-05-30 00:00:00+00:00,C39,P3,W18,S7
,23460.0,0.04,BULK,,,2017-02-07 00:00:00+00:00,C41,P3,W15,S6
13.19,44060.0,0.06,BULK,45.51,0.37,2020-10-22 00:00:00+00:00,C13,P1,W2,S2
60.38,720.0,1.54,-MDRM,3.26,0.11,2021-09-23 00:00:00+00:00,C42,P2,W12,S3
132.38,1080.0,0.94,-MDRM,10.72,0.1,2017-06-13 00:00:00+00:00,C43,P2,W12,S3
6.19,720.0,0.81,-MDRM,0.33,0.11,2019-05-16 00:00:00+00:00,C5,P2,W5,S3
66.83,40640.0,0.15,BULK,225.55,0.74,2022-12-06 00:00:00+00:00,C28,P1,W2,S2
6.19,44860.0,0.07,BULK,20.89,0.54,2019-03-12 00:00:00+00:00,C44,P1,W14,S2
60.89,2880.0,0.94,-MDRM,13.15,0.11,2018-05-07 00:00:00+00:00,C45,P2,W15,S3
86.96,40520.0,0.09,BULK,260.88,0.2,2021-06-28 00:00:00+00:00,C46,P1,W16,S2
16.69,45400.0,0.07,BULK,56.33,0.16,2019-07-15 00:00:00+00:00,C47,P1,W1,S1
0.0,13100.0,0.14,BULK,0.0,1.14,2022-05-25 00:00:00+00:00,C48,P1,W2,S2
4.05,43340.0,0.04,BULK,13.36,1.46,2017-12-13 00:00:00+00:00,C49,P3,W12,S2
14.6,3820.0,0.1,BULK,6.7,3.53,2022-01-28 00:00:00+00:00,C50,P1,W16,S2
113.64,46320.0,0.07,BULK,392.06,0.47,2018-09-07 00:00:00+00:00,C19,P1,W16,S2
14.6,4300.0,0.16,BULK,6.7,2.63,2022-06-24 00:00:00+00:00,C50,P1,W16,S2
0.0,35040.0,0.13,BULK,0.0,2.19,2022-06-23 00:00:00+00:00,C41,P3,W12,S6
20.21,2880.0,1.47,-MDRM,4.37,0.11,2020-12-11 00:00:00+00:00,C27,P2,W15,S3
167.86,360.0,1.99,-MDRM,4.53,0.1,2017-08-02 00:00:00+00:00,C51,P2,W19,S3
47.43,43920.0,0.07,BULK,163.63,0.59,2019-08-27 00:00:00+00:00,C19,P1,W2,S2
4.05,1440.0,0.76,-MDRM,0.44,0.11,2019-02-12 00:00:00+00:00,C52,P2,W12,S3
43.58,44820.0,0.08,BULK,152.31,1.08,2021-12-23 00:00:00+00:00,C53,P1,W3,S2
13.79,360.0,0.75,-MDRM,0.37,0.11,2017-06-27 00:00:00+00:00,C54,P2,W3,S3
148.47,40920.0,0.07,BULK,512.22,0.4,2018-08-23 00:00:00+00:00,C24,P1,W2,S2
57.8,1440.0,1.37,-MDRM,6.24,0.11,2018-05-02 00:00:00+00:00,C55,P2,W6,S3
86.24,5760.0,0.71,-MDRM,37.26,0.1,2019-09-05 00:00:00+00:00,C56,P2,W17,S3
35.98,1080.0,0.97,-MDRM,2.91,0.11,2019-05-28 00:00:00+00:00,C57,P2,W10,S3
36.92,720.0,1.08,-MDRM,1.99,0.11,2017-08-22 00:00:00+00:00,C58,P2,W15,S3
12.6,360.0,1.33,-MDRM,0.34,0.11,2019-08-30 00:00:00+00:00,C59,P2,W13,S3
75.62,1440.0,1.06,-MDRM,8.17,0.11,2017-03-13 00:00:00+00:00,C60,P2,W4,S3
95.67,720.0,1.53,-MDRM,5.17,0.11,2020-08-13 00:00:00+00:00,C61,P2,W6,S3
97.38,43220.0,0.16,BULK,328.66,0.4,2022-08-11 00:00:00+00:00,C62,P1,W2,S2
54.63,44800.0,0.66,BULK,184.38,0.07,2017-08-09 00:00:00+00:00,C37,P4,W3,S8
86.96,43220.0,0.06,BULK,300.01,0.44,2020-12-15 00:00:00+00:00,C46,P1,W16,S2
86.96,46440.0,0.09,BULK,313.06,0.77,2022-01-11 00:00:00+00:00,C46,P1,W16,S2
195.49,43360.0,0.08,BULK,659.78,0.92,2019-09-13 00:00:00+00:00,C4,P1,W4,S2
55.6,720.0,1.6,-MDRM,3.0,0.11,2021-01-27 00:00:00+00:00,C38,P2,W17,S3
18.87,360.0,1.05,-MDRM,0.51,0.11,2017-02-08 00:00:00+00:00,C63,P2,W3,S3
14.66,46160.0,0.05,BULK,50.47,0.26,2017-12-20 00:00:00+00:00,C64,P1,W16,S2
5.16,1080.0,1.03,-MDRM,0.42,0.11,2022-09-13 00:00:00+00:00,C65,P2,W12,S3
166.81,32320.0,0.08,BULK,404.35,1.08,2019-03-07 00:00:00+00:00,C41,P3,W12,S6
0.0,28340.0,0.06,BULK,0.0,3.99,2018-07-18 00:00:00+00:00,C1,P1,W1,S1
75.62,1440.0,1.06,-MDRM,8.17,0.11,2019-09-12 00:00:00+00:00,C60,P2,W4,S3
0.0,46020.0,0.13,BULK,0.0,0.18,2022-09-09 00:00:00+00:00,C1,P1,W1,S1
35.12,45520.0,0.06,BULK,118.53,0.65,2018-05-31 00:00:00+00:00,C34,P1,W1,S1
26.01,360.0,1.1,-MDRM,0.7,0.11,2019-01-17 00:00:00+00:00,C66,P2,W15,S3
48.01,360.0,2.24,-MDRM,1.3,0.11,2018-06-11 00:00:00+00:00,C67,P2,W13,S3
96.48,360.0,1.46,-MDRM,2.6,0.11,2018-03-07 00:00:00+00:00,C25,P2,W7,S3
14.6,6880.0,0.06,BULK,6.7,3.99,2020-07-08 00:00:00+00:00,C50,P1,W16,S2
148.47,44220.0,0.08,BULK,512.22,0.37,2021-07-28 00:00:00+00:00,C24,P1,W2,S2
47.43,47280.0,0.07,BULK,163.63,0.51,2018-08-20 00:00:00+00:00,C19,P1,W2,S2
35.43,360.0,1.24,-MDRM,0.96,0.11,2019-08-20 00:00:00+00:00,C68,P2,W15,S3
179.51,44330.0,0.04,BULK,605.85,1.03,2017-09-26 00:00:00+00:00,C69,P1,W4,S2
50.51,1080.0,1.25,-MDRM,4.09,0.11,2017-09-07 00:00:00+00:00,C17,P2,W10,S3
74.25,360.0,1.76,-MDRM,2.0,0.11,2017-06-08 00:00:00+00:00,C70,P2,W4,S3
24.78,360.0,1.37,-MDRM,0.67,0.11,2017-01-05 00:00:00+00:00,C71,P2,W20,S3
54.63,44380.0,0.75,BULK,184.38,0.06,2018-07-13 00:00:00+00:00,C37,P4,W3,S8
83.49,1440.0,0.9,-MDRM,9.02,0.1,2018-10-31 00:00:00+00:00,C72,P2,W17,S3
62.91,360.0,2.23,-MDRM,1.7,0.11,2021-04-12 00:00:00+00:00,C73,P2,W5,S3
19.16,360.0,0.7,-MDRM,0.52,0.33,2017-04-04 00:00:00+00:00,C74,P2,W13,S3
43.65,6580.0,0.08,BULK,22.92,3.06,2018-07-27 00:00:00+00:00,C75,P1,W2,S2
13.19,44540.0,0.08,BULK,45.51,0.23,2021-07-01 00:00:00+00:00,C13,P1,W2,S2
35.12,44980.0,0.06,BULK,121.16,0.63,2017-08-15 00:00:00+00:00,C34,P1,W1,S1
62.91,360.0,1.12,-MDRM,1.7,0.11,2017-06-14 00:00:00+00:00,C76,P2,W5,S3
40.77,45620.0,0.09,BULK,143.71,0.23,2022-02-14 00:00:00+00:00,C34,P1,W1,S2
44.08,18020.0,0.09,BULK,59.51,0.83,2021-08-20 00:00:00+00:00,C77,P1,W16,S2
50.51,1080.0,1.28,-MDRM,4.09,0.19,2021-06-08 00:00:00+00:00,C17,P2,W10,S9
10.19,720.0,1.23,-MDRM,0.55,0.11,2017-11-16 00:00:00+00:00,C78,P2,W13,S3
47.43,45100.0,0.05,BULK,163.63,0.56,2016-12-05 00:00:00+00:00,C19,P1,W2,S2
153.89,44860.0,0.07,BULK,519.38,0.21,2019-05-31 00:00:00+00:00,C79,P1,W4,S2
148.47,43580.0,0.07,BULK,512.22,0.48,2021-05-12 00:00:00+00:00,C24,P1,W2,S2
88.37,360.0,0.85,-MDRM,2.39,0.35,2017-09-19 00:00:00+00:00,C80,P2,W15,S3
25.19,720.0,1.62,-MDRM,1.36,0.11,2018-03-28 00:00:00+00:00,C81,P2,W15,S3
35.43,360.0,0.66,-MDRM,0.96,0.91,2017-03-02 00:00:00+00:00,C68,P2,W15,S3
41.95,44140.0,0.06,BULK,144.73,0.22,2018-02-09 00:00:00+00:00,C40,P1,W2,S2
18.07,360.0,0.9,-MDRM,0.49,0.12,2018-09-12 00:00:00+00:00,C82,P2,W21,S3
6.43,18335.0,0.06,BULK,7.38,3.99,2016-11-18 00:00:00+00:00,C83,P1,W16,S2
209.68,45460.0,0.07,BULK,707.67,0.59,2019-01-25 00:00:00+00:00,C84,P1,W4,S2
60.38,360.0,1.8,-MDRM,1.63,0.11,2018-05-03 00:00:00+00:00,C42,P2,W12,S3
20.21,1440.0,1.14,-MDRM,2.18,0.11,2017-09-13 00:00:00+00:00,C27,P2,W15,S3
93.46,42440.0,0.06,BULK,315.43,0.77,2018-06-07 00:00:00+00:00,C85,P1,W2,S2
116.85,46900.0,0.05,BULK,394.37,1.07,2020-12-07 00:00:00+00:00,C86,P1,W14,S2
40.77,45380.0,0.07,BULK,143.71,0.75,2020-01-27 00:00:00+00:00,C34,P1,W1,S1
6.47,360.0,2.11,-MDRM,0.17,0.11,2017-03-16 00:00:00+00:00,C87,P2,W20,S3
32.39,1440.0,1.24,-MDRM,3.5,0.11,2018-04-04 00:00:00+00:00,C18,P2,W13,S3
136.86,45820.0,0.05,BULK,461.9,0.48,2018-02-22 00:00:00+00:00,C88,P1,W3,S2
55.83,720.0,1.92,-MDRM,3.01,0.11,2020-05-20 00:00:00+00:00,C89,P2,W5,S3
13.19,43760.0,0.07,BULK,45.51,0.42,2019-07-29 00:00:00+00:00,C13,P1,W2,S2
22.73,44000.0,0.04,BULK,75.01,1.76,2017-07-10 00:00:00+00:00,C49,P3,W22,S2
23.66,360.0,1.1,-MDRM,0.64,0.11,2019-07-02 00:00:00+00:00,C90,P2,W13,S3
141.31,43760.0,0.07,BULK,476.92,0.63,2021-04-12 00:00:00+00:00,C91,P1,W2,S2
136.86,42420.0,0.05,BULK,461.9,0.49,2018-03-19 00:00:00+00:00,C88,P1,W3,S2
14.6,7700.0,0.06,BULK,6.7,3.99,2018-05-31 00:00:00+00:00,C50,P1,W16,S2
50.95,46120.0,0.06,BULK,175.4,0.68,2020-02-27 00:00:00+00:00,C92,P1,W2,S2
158.35,44260.0,0.05,BULK,534.43,0.53,2021-02-02 00:00:00+00:00,C84,P1,W3,S2
50.95,29140.0,0.05,BULK,118.46,0.94,2017-05-17 00:00:00+00:00,C92,P1,W2,S2
7.97,1080.0,1.4,-MDRM,0.65,0.11,2021-07-02 00:00:00+00:00,C93,P2,W12,S3
120.64,44090.0,0.07,BULK,415.3,0.37,2020-03-04 00:00:00+00:00,C94,P1,W4,S2
35.98,720.0,1.21,-MDRM,1.94,0.22,2022-03-30 00:00:00+00:00,C57,P2,W10,S3
55.6,720.0,1.28,-MDRM,3.0,0.11,2019-11-27 00:00:00+00:00,C38,P2,W17,S3
227.56,360.0,2.67,-MDRM,6.14,0.22,2021-04-26 00:00:00+00:00,C8,P2,W7,S4
6.19,720.0,0.72,-MDRM,0.33,0.11,2017-08-30 00:00:00+00:00,C5,P2,W5,S3
114.16,44860.0,0.05,BULK,393.85,0.26,2017-02-20 00:00:00+00:00,C6,P1,W2,S2
66.83,41760.0,0.15,BULK,225.55,0.74,2022-11-17 00:00:00+00:00,C28,P1,W2,S2
10.06,2880.0,0.77,-MDRM,2.17,0.11,2018-10-18 00:00:00+00:00,C95,P2,W3,S3
6.19,45020.0,0.06,BULK,20.89,0.63,2019-07-19 00:00:00+00:00,C44,P1,W14,S3
22.73,44000.0,0.04,BULK,75.01,1.73,2017-06-08 00:00:00+00:00,C49,P3,W22,S2
76.65,360.0,1.61,-MDRM,2.07,0.11,2020-09-17 00:00:00+00:00,C96,P2,W10,S3
45.78,45500.0,0.06,BULK,157.94,0.91,2018-03-07 00:00:00+00:00,C97,P1,W16,S2
17.2,360.0,1.94,-MDRM,0.46,0.11,2018-02-15 00:00:00+00:00,C98,P2,W13,S3
46.12,360.0,2.26,-MDRM,1.25,0.11,2018-07-30 00:00:00+00:00,C99,P2,W3,S3
5.92,360.0,1.01,-MDRM,0.16,0.11,2018-12-20 00:00:00+00:00,C100,P2,W13,S3
18.93,1080.0,2.58,-MDRM,1.53,0.11,2020-04-29 00:00:00+00:00,C101,P2,W20,S3
16.28,1440.0,0.88,-MDRM,1.76,0.11,2017-07-27 00:00:00+00:00,C102,P2,W12,S3
54.63,44800.0,0.91,BULK,184.38,0.06,2020-07-27 00:00:00+00:00,C37,P4,W3,S10
41.95,41200.0,0.05,BULK,144.73,0.32,2016-09-26 00:00:00+00:00,C40,P1,W2,S2
11.7,720.0,1.35,-MDRM,0.63,0.11,2020-05-07 00:00:00+00:00,C103,P2,W23,S3
18.02,720.0,2.66,-MDRM,0.97,0.11,2020-04-23 00:00:00+00:00,C104,P2,W3,S3
54.63,45680.0,0.8,BULK,184.38,0.07,2018-03-12 00:00:00+00:00,C37,P4,W3,S8
13.79,360.0,0.75,-MDRM,0.37,0.11,2017-06-23 00:00:00+00:00,C54,P2,W3,S3
18.87,1440.0,0.52,+MDRM,2.04,0.72,2016-09-21 00:00:00+00:00,C105,P2,W3,S3
6.19,720.0,0.79,-MDRM,0.33,0.11,2017-05-03 00:00:00+00:00,C5,P2,W5,S3
31.89,47440.0,0.07,BULK,110.02,0.53,2019-04-12 00:00:00+00:00,C106,P1,W16,S2
0.0,360.0,1.53,-MDRM,0.0,0.11,2020-05-27 00:00:00+00:00,C107,P2,W24,S6
32.83,720.0,0.86,-MDRM,1.77,0.11,2020-03-06 00:00:00+00:00,C108,P2,W3,S3
2.41,5740.0,0.05,BULK,2.9,3.99,2017-04-25 00:00:00+00:00,C109,P1,W2,S2
33.64,720.0,1.77,-MDRM,1.82,0.11,2020-05-13 00:00:00+00:00,C110,P2,W13,S3
7.16,360.0,1.53,-MDRM,0.19,0.11,2021-01-15 00:00:00+00:00,C111,P2,W15,S3
40.77,45240.0,0.13,BULK,143.71,0.17,2022-10-24 00:00:00+00:00,C34,P1,W1,S2
76.65,360.0,1.17,-MDRM,2.07,0.11,2018-11-29 00:00:00+00:00,C96,P2,W10,S3
159.54,44920.0,1.02,BULK,538.45,0.07,2022-10-03 00:00:00+00:00,C112,P4,W3,S2
23.66,720.0,1.21,-MDRM,1.28,0.63,2021-12-23 00:00:00+00:00,C90,P2,W13,S3
55.6,720.0,1.28,-MDRM,3.0,0.11,2020-02-21 00:00:00+00:00,C38,P2,W17,S3
195.49,42740.0,0.07,BULK,659.78,1.11,2019-03-04 00:00:00+00:00,C4,P1,W4,S2
32.78,2520.0,0.62,-MDRM,6.2,0.11,2019-10-23 00:00:00+00:00,C11,P2,W11,S3
136.86,43280.0,0.07,BULK,461.9,0.28,2018-04-18 00:00:00+00:00,C88,P1,W3,S2
105.61,1080.0,1.08,-MDRM,8.55,0.7,2022-03-09 00:00:00+00:00,C113,P2,W9,S3
50.51,1440.0,1.2,-MDRM,5.46,0.11,2019-05-22 00:00:00+00:00,C17,P2,W10,S3
86.24,1440.0,0.71,-MDRM,9.31,0.1,2019-04-03 00:00:00+00:00,C56,P2,W17,S3
18.14,720.0,1.37,-MDRM,0.98,0.11,2018-08-22 00:00:00+00:00,C114,P2,W12,S3
112.44,42280.0,0.08,BULK,379.48,0.13,2019-03-07 00:00:00+00:00,C20,P1,W3,S2
30.36,45980.0,0.17,BULK,104.74,0.47,2022-11-15 00:00:00+00:00,C115,P3,W12,S2
148.47,44560.0,0.07,BULK,512.22,0.42,2021-04-07 00:00:00+00:00,C24,P1,W2,S2
31.89,38680.0,0.06,BULK,110.02,0.77,2020-02-26 00:00:00+00:00,C106,P1,W16,S2
16.08,1080.0,1.16,-MDRM,1.3,0.11,2022-05-19 00:00:00+00:00,C116,P2,W5,S3
173.11,47000.0,0.07,BULK,649.16,0.43,2019-11-12 00:00:00+00:00,C117,P3,W12,S2
24.31,15280.0,0.09,BULK,27.35,1.59,2021-11-17 00:00:00+00:00,C29,P1,W4,S2
86.24,5760.0,0.71,-MDRM,37.26,0.1,2020-01-29 00:00:00+00:00,C56,P2,W17,S3
,36160.0,0.05,BULK,,,2016-10-04 00:00:00+00:00,C41,P3,W15,S6
31.89,46040.0,0.07,BULK,110.02,0.5,2019-01-29 00:00:00+00:00,C106,P1,W16,S2
54.63,44460.0,0.94,BULK,184.38,0.06,2021-07-07 00:00:00+00:00,C37,P4,W3,S2
40.77,45180.0,0.07,BULK,143.71,0.73,2019-12-30 00:00:00+00:00,C34,P1,W1,S1
86.96,45940.0,0.07,BULK,300.01,0.24,2018-11-27 00:00:00+00:00,C46,P1,W16,S2
91.91,44100.0,0.09,BULK,310.2,0.83,2021-09-02 00:00:00+00:00,C118,P1,W12,S2
19.16,360.0,1.81,-MDRM,0.52,0.11,2017-06-21 00:00:00+00:00,C119,P2,W13,S3
6.19,42480.0,0.05,BULK,21.31,0.54,2018-04-19 00:00:00+00:00,C44,P1,W14,S2
18.14,14880.0,0.09,BULK,21.03,3.99,2022-02-08 00:00:00+00:00,C120,P1,W2,S2
4.05,2880.0,1.35,-MDRM,0.87,0.11,2020-05-20 00:00:00+00:00,C52,P2,W12,S3
18.87,360.0,1.53,-MDRM,0.51,0.11,2019-06-21 00:00:00+00:00,C63,P2,W3,S3
0.0,44160.0,0.06,BULK,0.0,0.37,2018-01-31 00:00:00+00:00,C1,P1,W1,S1
75.62,1080.0,1.06,-MDRM,8.17,0.11,2018-04-30 00:00:00+00:00,C60,P2,W4,S3
40.77,45020.0,0.07,BULK,143.71,0.27,2021-07-28 00:00:00+00:00,C34,P1,W1,S2
6.43,21100.0,0.05,BULK,11.07,3.99,2017-10-03 00:00:00+00:00,C83,P1,W16,S2
17.2,720.0,2.23,-MDRM,0.93,0.11,2019-05-30 00:00:00+00:00,C98,P2,W13,S3
55.6,720.0,1.01,-MDRM,3.0,0.11,2017-04-07 00:00:00+00:00,C38,P2,W17,S3
7.97,360.0,1.8,-MDRM,0.22,0.11,2020-05-29 00:00:00+00:00,C93,P2,W12,S3
120.64,44890.0,0.07,BULK,415.3,0.34,2018-12-13 00:00:00+00:00,C94,P1,W4,S2
40.77,45360.0,0.06,BULK,137.6,0.64,2017-08-07 00:00:00+00:00,C34,P1,W1,S1
84.76,44740.0,0.09,BULK,305.14,0.53,2021-11-10 00:00:00+00:00,C121,P1,W4,S2
6.98,720.0,1.8,-MDRM,0.38,0.11,2020-04-21 00:00:00+00:00,C122,P2,W11,S3
11.56,720.0,3.67,-MDRM,0.62,0.11,2021-02-22 00:00:00+00:00,C123,P2,W13,S3
180.44,42860.0,0.17,BULK,649.58,0.29,2022-09-21 00:00:00+00:00,C124,P3,W3,S2
269.05,39620.0,0.06,BULK,802.71,0.5,2020-09-03 00:00:00+00:00,C2,P1,W2,S2
107.3,46760.0,0.08,BULK,386.28,0.66,2018-03-06 00:00:00+00:00,C125,P3,W12,S2
46.37,360.0,1.18,-MDRM,1.25,0.11,2018-05-07 00:00:00+00:00,C126,P2,W3,S3
54.63,44240.0,0.81,BULK,184.38,0.06,2022-09-12 00:00:00+00:00,C37,P4,W3,S2
47.43,43820.0,0.07,BULK,163.63,0.58,2019-07-23 00:00:00+00:00,C19,P1,W2,S2
32.83,360.0,1.02,-MDRM,0.89,0.11,2017-08-09 00:00:00+00:00,C127,P2,W3,S3
47.28,35140.0,0.06,BULK,113.47,1.03,2020-10-05 00:00:00+00:00,C14,P1,W11,S2
75.62,1440.0,1.06,-MDRM,8.17,0.11,2018-06-07 00:00:00+00:00,C60,P2,W4,S3
56.54,16080.0,0.86,BULK,190.82,0.08,2021-09-20 00:00:00+00:00,C37,P4,W3,S2
17.06,1080.0,1.18,-MDRM,1.38,0.11,2019-09-09 00:00:00+00:00,C128,P2,W21,S3
40.77,45280.0,0.06,BULK,137.6,0.55,2017-02-07 00:00:00+00:00,C34,P1,W1,S2
73.91,44820.0,0.05,BULK,249.45,1.94,2020-12-21 00:00:00+00:00,C36,P1,W3,S8
44.08,13640.0,0.06,BULK,59.51,1.12,2018-07-02 00:00:00+00:00,C77,P1,W16,S2
14.6,6640.0,0.07,BULK,6.7,3.99,2018-12-13 00:00:00+00:00,C50,P1,W16,S2
6.19,720.0,0.72,-MDRM,0.33,0.11,2017-09-06 00:00:00+00:00,C5,P2,W5,S3
54.63,25240.0,0.62,BULK,102.43,0.07,2019-02-26 00:00:00+00:00,C37,P4,W3,S2
21.83,360.0,1.74,-MDRM,0.59,0.11,2020-11-24 00:00:00+00:00,C129,P2,W21,S3
14.6,2600.0,0.08,BULK,6.7,3.99,2021-06-03 00:00:00+00:00,C50,P1,W16,S2
47.43,45600.0,0.05,BULK,163.63,0.61,2018-01-02 00:00:00+00:00,C19,P1,W2,S2
6.19,720.0,0.81,-MDRM,0.33,0.11,2019-07-17 00:00:00+00:00,C5,P2,W5,S3
58.59,720.0,1.17,-MDRM,3.16,0.42,2022-03-15 00:00:00+00:00,C130,P2,W11,S3
158.35,43360.0,0.1,BULK,534.43,1.25,2022-06-10 00:00:00+00:00,C84,P1,W3,S2
60.43,1440.0,1.01,-MDRM,6.53,0.11,2020-03-11 00:00:00+00:00,C131,P2,W5,S3
47.43,44880.0,0.06,BULK,163.63,0.49,2018-01-09 00:00:00+00:00,C19,P1,W2,S2
202.99,45520.0,0.05,BULK,685.09,1.74,2018-01-29 00:00:00+00:00,C36,P1,W4,S2
20.93,360.0,1.16,-MDRM,0.57,0.41,2022-08-22 00:00:00+00:00,C132,P2,W25,S3
56.76,46180.0,0.07,BULK,195.82,0.33,2020-06-24 00:00:00+00:00,C133,P1,W16,S2
